epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10559.2,0.75499,1.00605,1.2658,0.9374,0.91962,0.96083,0.70829,0.9465,0.49724,1.42441,0.000338271,0.000338271,0.000338271
43,10808.8,0.74525,0.95232,1.25429,0.92862,0.89781,0.95057,0.72759,0.8569,0.49848,1.35546,0.000330381,0.000330381,0.000330381
44,11057.8,0.73794,0.94832,1.25459,0.92629,0.92932,0.9613,0.72541,0.9064,0.4928,1.40673,0.000322428,0.000322428,0.000322428
45,11306.4,0.74349,0.94994,1.2564,0.9311,0.91893,0.9585,0.70089,0.94748,0.4993,1.46354,0.000314418,0.000314418,0.000314418
46,11555.8,0.72814,0.9131,1.2389,0.93521,0.92457,0.95915,0.74129,0.8376,0.44942,1.36418,0.000306361,0.000306361,0.000306361
47,11805.4,0.72694,0.91953,1.23574,0.93836,0.91838,0.96515,0.72651,0.90253,0.46545,1.45548,0.000298263,0.000298263,0.000298263
48,12054.7,0.73451,0.9167,1.24086,0.90504,0.92977,0.96241,0.7243,0.9028,0.47346,1.38083,0.000290133,0.000290133,0.000290133
49,12304,0.71942,0.92525,1.22861,0.9368,0.93902,0.96818,0.74241,0.84462,0.43796,1.32586,0.000281979,0.000281979,0.000281979
50,12553.4,0.71211,0.88838,1.22253,0.93801,0.92341,0.96796,0.73803,0.86442,0.45124,1.36311,0.000273808,0.000273808,0.000273808
51,12802.7,0.71409,0.88013,1.22954,0.91215,0.93023,0.96679,0.74673,0.84486,0.45005,1.34287,0.00026563,0.00026563,0.00026563
52,13051.8,0.70637,0.88153,1.22558,0.94165,0.93175,0.972,0.7413,0.86225,0.43685,1.37224,0.000257452,0.000257452,0.000257452
53,13301.3,0.70768,0.87545,1.22669,0.94911,0.92315,0.96838,0.73623,0.87169,0.44392,1.34634,0.000249281,0.000249281,0.000249281
54,13550.2,0.70444,0.88664,1.22372,0.93275,0.92311,0.96612,0.75259,0.80868,0.43115,1.29667,0.000241127,0.000241127,0.000241127
